"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"<barrier packet>",13501,30988754502,2295293,51.775001308777696
"ncclDevKernel_Generic(ncclDevComm*, channelMasks, ncclWork*)",6984,28842898847,4129853,48.189775599273865
"void at::native::elementwise_kernel<512, 1, void at::native::gpu_kernel_impl<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::'lambda1'()::operator()(",1024,4854248,4740,0.008110319391407321
"void at::native::elementwise_kernel<128, 4, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>> const&)::'lambda0'(int)>(int, void at::native::gpu_kernel_impl<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>> const&)::'lambda0'(int))",256,3170731,12385,0.0052975540421989825
"void at::native::elementwise_kernel<128, 4, void at::native::gpu_kernel_impl<at::native::(anonymous namespace)::pow_tensor_tensor_kernel(at::TensorIteratorBase&)::'lambda'()::operator()(",256,3145772,12288,0.0052558533582433755
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1>>(int, at::native::FillFunctor<c10::Half>, at::detail::Array<char*, 1>)",528,1464643,2773,0.0024470778016263267
"void at::native::vectorized_elementwise_kernel<4, at::native::reciprocal_kernel_cuda(at::TensorIteratorBase&)::'lambda'()::operator()(",256,1428165,5578,0.0023861315477967412
"void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::Scalar const&, c10::Scalar const&, c10::Scalar const&, at::Tensor&)::'lambda'()::operator()(",512,1303685,2546,0.0021781544197549967
"void at::native::vectorized_elementwise_kernel<4, at::native::sin_kernel_cuda(at::TensorIteratorBase&)::'lambda0'()::operator()(",256,1295522,5060,0.002164515945331758
"void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char*, 2>>(int, at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char*, 2>)",256,1236327,4829,0.002065614868095004
"void at::native::vectorized_elementwise_kernel<4, at::native::cos_kernel_cuda(at::TensorIteratorBase&)::'lambda0'()::operator()(",256,1204963,4706,0.002013212918834872
"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char*, 2>>(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char*, 2>)",256,1200326,4688,0.002005465570323227
"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<long>, at::detail::Array<char*, 1>>(int, at::native::FillFunctor<long>, at::detail::Array<char*, 1>)",256,777602,3037,0.001299192084829023
